"model_name","AIC","delta"
"1","co_1",21254.8347444266,0
"2","co_1_int",21271.3316129539,16.4968685272797
"3","co",21356.9194223291,102.08467790245
"4","co_3",21365.6549128428,110.820168416194
"5","co_int",21374.4649610105,119.630216583922
"6","co_3_int",21380.3149873697,125.4802429431
"7","co_5",21866.1758658189,611.341121392237
"8","co_5_int",21873.5430216297,618.708277203048
"model_name","AIC","delta"
"1","co_3_int",22282.0437327323,0
"2","co_1_int",22285.0076814468,2.96394871447046
"3","co_3",22289.3864231053,7.34269037298873
"4","co_1",22305.9784366043,23.9347038720007
"5","co_int",22405.4770932457,123.433360513452
"6","co",22433.7646807336,151.720948001283
"7","co_5",22580.3157559436,298.272023211328
"8","co_5_int",22582.4129091326,300.369176400312
"model_name","AIC","delta"
"1","co_1_int",38819.9414238412,0
"2","co_3_int",38835.3093823104,15.3679584691417
"3","co_3",38866.0505084287,46.1090845874423
"4","co_1",38870.3073489056,50.3659250643468
"5","co_int",38979.5992348212,159.657810979967
"6","co",39035.3093099507,215.367886109467
"7","co_5_int",39268.7426953265,448.801271485267
"8","co_5",39282.8117423168,462.870318475587
"model_name","AIC","delta"
"1","co_1",34232.7319375541,0
"2","co_1_int",34255.8453344825,23.1133969283983
"3","co_3",34261.6115321671,28.8795946129321
"4","co_3_int",34276.1822874871,43.4503499329294
"5","co",34433.311169297,200.57923174282
"6","co_int",34459.7667364878,227.034798933688
"7","co_5_int",34845.0512580841,612.319320529932
"8","co_5",34849.9934584477,617.261520893531
"model_name","AIC","delta"
"1","co_1_int",40031.0860166848,0
"2","co_1",40055.8651828463,24.7791661614829
"3","co_3_int",40058.6545641003,27.5685474155325
"4","co_3",40065.8374209174,34.7514042326584
"5","co_int",40186.667982696,155.58196601121
"6","co",40220.3446317662,189.258615081388
"7","co_5",40516.3176421914,485.231625506582
"8","co_5_int",40518.0889462058,487.002929520975
"model_name","AIC","delta"
"1","co_3_int",48966.4823770391,0
"2","co_3",48990.462553829,23.9801767899044
"3","co_1_int",49023.2431058044,56.7607287652136
"4","co_1",49069.281441131,102.799064091851
"5","co_int",49249.8376904156,283.355313376465
"6","co",49304.6992992197,338.216922180589
"7","co_5_int",49423.8224502784,457.340073239306
"8","co_5",49439.0140227734,472.53164573422
"model_name","AIC","delta"
"1","co_1",31521.5878703998,0
