%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
	
2004 01 03 00 00 00	18.69
2004 01 04 00 00 00	18.55
2004 01 05 00 00 00	18.64
2004 01 06 00 00 00	18.64
2004 01 07 00 00 00	18.44
2004 01 08 00 00 00	18.26
2004 01 09 00 00 00	18.33
2004 01 10 00 00 00	18.02
2004 01 11 00 00 00	18.21
2004 01 12 00 00 00	18.13
2004 01 13 00 00 00	18.06
2004 01 14 00 00 00	18.16
2004 01 15 00 00 00	18.13
2004 01 16 00 00 00	18.15
2004 01 17 00 00 00	18.00
2004 01 18 00 00 00	18.04
2004 01 19 00 00 00	18.08
2004 01 20 00 00 00	18.10
2004 01 21 00 00 00	18.08
2004 01 22 00 00 00	18.02
2004 01 23 00 00 00	17.65
2004 01 24 00 00 00	17.19
2004 01 25 00 00 00	17.43
2004 01 26 00 00 00	17.30
2004 01 27 00 00 00	17.27
2004 01 28 00 00 00	17.36
2004 01 29 00 00 00	17.43
2004 01 30 00 00 00	17.41
2004 01 31 00 00 00	17.35
2004 02 01 00 00 00	17.30
2004 02 02 00 00 00	17.38
2004 02 03 00 00 00	17.54
2004 02 04 00 00 00	17.51
2004 02 05 00 00 00	17.29
2004 02 06 00 00 00	17.38
2004 02 07 00 00 00	17.48
2004 02 08 00 00 00	17.42
2004 02 09 00 00 00	17.47
2004 02 10 00 00 00	17.53
2004 02 11 00 00 00	17.55
2004 02 12 00 00 00	17.43
2004 02 13 00 00 00	17.39
2004 02 14 00 00 00	17.05
2004 02 15 00 00 00	16.49
2004 02 16 00 00 00	16.29
2004 02 17 00 00 00	16.40
2004 02 18 00 00 00	16.71
2004 02 19 00 00 00	17.02
2004 02 20 00 00 00	16.85
2004 02 21 00 00 00	17.03
2004 02 22 00 00 00	16.84
2004 02 23 00 00 00	16.66
2004 02 24 00 00 00	16.68
2004 02 25 00 00 00	16.76
2004 02 26 00 00 00	16.79
2004 02 27 00 00 00	16.91
2004 02 28 00 00 00	-1000.00
2004 02 29 00 00 00	-1000.00
2004 03 01 00 00 00	16.97
2004 03 02 00 00 00	16.98
2004 03 03 00 00 00	16.97
2004 03 04 00 00 00	16.84
2004 03 05 00 00 00	16.80
2004 03 06 00 00 00	17.65
2004 03 07 00 00 00	17.45
2004 03 08 00 00 00	17.33
2004 03 09 00 00 00	16.88
2004 03 10 00 00 00	16.94
2004 03 11 00 00 00	16.96
2004 03 12 00 00 00	17.14
2004 03 13 00 00 00	17.32
2004 03 14 00 00 00	17.19
2004 03 15 00 00 00	17.32
2004 03 16 00 00 00	17.32
2004 03 17 00 00 00	17.30
2004 03 18 00 00 00	17.24
