Date&Time(GMT),"Value of hourly average sea water temperature measured at depth 11.6 m, 2km from shore line (Hadera) - degrees Celsius",
1/1/1994 0:00,20.62,
1/1/1994 1:00,20.62,
1/1/1994 2:00,20.62,
1/1/1994 3:00,20.62,
1/1/1994 4:00,20.62,
1/1/1994 5:00,20.62,
1/1/1994 6:00,20.61,
1/1/1994 7:00,20.60,
1/1/1994 8:00,20.61,
1/1/1994 9:00,20.61,
1/1/1994 10:00,20.61,
1/1/1994 11:00,20.63,
1/1/1994 12:00,20.66,
1/1/1994 13:00,20.68,
1/1/1994 14:00,20.68,
1/1/1994 15:00,20.69,
1/1/1994 16:00,20.69,
1/1/1994 17:00,20.69,
1/1/1994 18:00,20.69,
1/1/1994 19:00,20.68,
1/1/1994 20:00,20.68,
1/1/1994 21:00,20.67,
1/1/1994 22:00,20.67,
1/1/1994 23:00,20.66,
2/1/1994 0:00,20.64,
2/1/1994 1:00,20.62,
2/1/1994 2:00,20.60,
2/1/1994 3:00,20.57,
2/1/1994 4:00,20.54,
2/1/1994 5:00,20.52,
2/1/1994 6:00,20.51,
2/1/1994 7:00,20.50,
2/1/1994 8:00,20.49,
2/1/1994 9:00,20.48,
2/1/1994 10:00,20.46,
2/1/1994 11:00,20.45,
2/1/1994 12:00,20.46,
2/1/1994 13:00,20.47,
2/1/1994 14:00,20.46,
2/1/1994 15:00,20.46,
2/1/1994 16:00,20.47,
2/1/1994 17:00,20.47,
2/1/1994 18:00,20.47,
2/1/1994 19:00,20.46,
2/1/1994 20:00,20.47,
2/1/1994 21:00,20.48,
2/1/1994 22:00,20.45,
2/1/1994 23:00,20.38,
3/1/1994 0:00,20.38,
3/1/1994 1:00,20.39,
3/1/1994 2:00,20.42,
3/1/1994 3:00,20.42,
3/1/1994 4:00,20.41,
3/1/1994 5:00,20.36,
3/1/1994 6:00,20.24,
3/1/1994 7:00,20.31,
3/1/1994 8:00,20.35,
3/1/1994 9:00,20.29,
3/1/1994 10:00,20.26,
3/1/1994 11:00,20.25,
3/1/1994 12:00,20.25,
3/1/1994 13:00,20.27,
3/1/1994 14:00,20.26,
3/1/1994 15:00,20.21,
3/1/1994 16:00,20.12,
3/1/1994 17:00,20.16,
3/1/1994 18:00,20.17,
3/1/1994 19:00,20.14,
3/1/1994 20:00,20.15,
3/1/1994 21:00,20.14,
3/1/1994 22:00,20.10,
3/1/1994 23:00,20.06,
4/1/1994 0:00,20.05,
4/1/1994 1:00,20.10,
4/1/1994 2:00,20.09,
4/1/1994 3:00,20.07,
4/1/1994 4:00,20.05,
4/1/1994 5:00,20.04,
4/1/1994 6:00,19.95,
4/1/1994 7:00,19.91,
4/1/1994 8:00,19.90,
4/1/1994 9:00,19.80,
4/1/1994 10:00,19.85,
4/1/1994 11:00,19.86,
4/1/1994 12:00,19.86,
4/1/1994 13:00,19.83,
4/1/1994 14:00,19.86,
4/1/1994 15:00,19.96,
4/1/1994 16:00,,
4/1/1994 17:00,,
4/1/1994 18:00,,
4/1/1994 19:00,,
4/1/1994 20:00,,
4/1/1994 21:00,,
4/1/1994 22:00,,
4/1/1994 23:00,,
5/1/1994 0:00,,
5/1/1994 1:00,,
5/1/1994 2:00,,
5/1/1994 3:00,,
5/1/1994 4:00,,
5/1/1994 5:00,,
5/1/1994 6:00,,
5/1/1994 7:00,,
5/1/1994 8:00,,
5/1/1994 9:00,,
5/1/1994 10:00,,
5/1/1994 11:00,,
5/1/1994 12:00,,
5/1/1994 13:00,,
5/1/1994 14:00,,
5/1/1994 15:00,,
5/1/1994 16:00,,
5/1/1994 17:00,,
5/1/1994 18:00,,
5/1/1994 19:00,,
5/1/1994 20:00,,
5/1/1994 21:00,,
5/1/1994 22:00,,
5/1/1994 23:00,,
6/1/1994 0:00,,
6/1/1994 1:00,,
6/1/1994 2:00,,
6/1/1994 3:00,,
6/1/1994 4:00,,
6/1/1994 5:00,,
6/1/1994 6:00,,
6/1/1994 7:00,,
6/1/1994 8:00,,
6/1/1994 9:00,,
6/1/1994 10:00,,
6/1/1994 11:00,,
6/1/1994 12:00,,
6/1/1994 13:00,,
6/1/1994 14:00,,
6/1/1994 15:00,,
