CruiseNo,CruiseDate,DraggingSessionID,DraggingSessionCode,StartTime,EndTime,StartLat(N),StartLon(E),Lat(N),Lon(E),BottomDepth(Fathom),Species,NumberOfIndividuals,TotalWeight
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Alepes djedaba,72,4023
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Upeneus pori,68,796
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Leiognathus klunzingeri,14,68
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Spicara maena,41,468
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Pagrus caeruleostictus,441,11807
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Bothus podas,2,54
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Fistularia commersonii,1,49
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Boops boops,10,103
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Lagocephalus sceleratus,10,5030
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Lagocephalus suezensis,6,219
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Pagellus acarne,4,19
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Decapterus russelli,57,2850
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Balistes carolinensis,3,580
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Trachurus mediterraneus,132,655
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Sardina pilchardus,10,55
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Lithognathus mormyrus,21,397
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Caranx crysos,3,346
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Scomber japonicus,2,15
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Upeneus moluccensis,12,170
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Saurida undosquamis,1,18
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Scomberomorus commerson,14,12360
16,22-Apr-13,54,15A,00-Jan-00,00-Jan-00,3148.144,3437.174,3148.144,3437.174,8-11,Nemipterus randalli,,
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Arnoglossus laterna,2,10
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Raja miraletus,4,1400
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Raja clavata,2,3540
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Dasyatis pastinaca,1,800
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Spicara maena,855,14397
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Trachurus mediterraneus,17,686
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Arnoglossus laterna,7,49
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Apogon fasciatus,70,625
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Boops boops,430,10320
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Decapterus russelli,2,86
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Upeneus moluccensis,567,9043
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Scomber japonicus,4,449
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Nemipterus randalli,253,14373
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Dussumieria elopsoides,13,381
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Echelus myrus,2,341
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Lagocephalus padiceus,3,600
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Serranus hepatus,18,247
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Synodus saurus,1,50
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Balistes carolinensis,7,5400
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Saurida undosquamis,95,4914
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Gobius niger,1,25
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Bothus podas,4,89
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Apogon smithi,12,90
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Leiognathus klunzingeri,405,2462
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Lepidotrigla cavillone,3,32
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Sphyraena sphyraena,1,94
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Sphyraena chrysotaenia,1,40
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Citharus linguatula,2,23
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Pagrus caeruleostictus,1,88
16,22-Apr-13,55,40A,00-Jan-00,00-Jan-00,3150.277,3433.491,3141.745,3427.337,22,Sillago sihama,1,29
