"","species","les","Length","Diet.Class.1","Diet.Class.2","Diet.Class.3","Home.Range","Schooling","Level","Activity","period","depth.group","haul","total","vul","resilience","mean.tmp","min.tmp","max.tmp","range.tmp"
"1","Alectis alexandrina",0,"100","P","","","W","L","H","D","1990-4","S","199",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"2","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","M","180",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"3","Alectis alexandrina",0,"100","P","","","W","L","H","D","1990-4","S","4",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"4","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","S","92",3,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"5","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","S","71",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"6","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","M","2",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"7","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","M","1",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"8","Alectis alexandrina",0,"100","P","","","W","L","H","D","1990-4","S","196",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"9","Alectis alexandrina",0,"100","P","","","W","L","H","D","2008-12","S","257",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"10","Alectis alexandrina",0,"100","P","","","W","L","H","D","1990-4","M","57",1,50,"medium",26.853805194088,13.2849998474121,33.8499984741211,17.55299949646
"11","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","S","49",25,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"12","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","S","48",1,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"13","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","S","8",1,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"14","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","100",1,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"15","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","165",13,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"16","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","M","50",6,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
