,surfT,interT,Hadera 26 m
1987,27,15.7,
1988,28,15.875,
1989,23,16.5,
1990,26,16.8,
1991,24,16.75,
1992,,16.4,
1993,,16.48,
1994,,,
1995,,15.8,
1996,23,16.75,
1997,23,16.55,
1998,27.5,16,
1999,,15.75,
2000,,,
2001,23.5,17,
2002,28.5,17.1,
2003,28.75,16.5,
2004,27.5,16.875,22.55211699
2005,27.5,16.5,22.5773607
2006,28,17.5,22.70356083
2007,27,17.2,21.73982759
2008,28,17.5,23.19554598
2009,28.75,17,23.38830769
2010,25,16.75,23.02961268
2011,28.75,16.875,23.10162088
2012,26,16.2,22.98421384
2013,,16,23.63726761
2014,28.5,,23.51455556
2015,,,22.94892857
2016,,,23.3719943
2017,,,23.3366205
2018,,,23.45507837
