"","model_name","AIC","delta","Deviance_explained"
"red","co_5",35056.7646961588,0,10.7312733048836
"2","co_5_int",35058.570030927,1.80533476819983,11.1309603978583
"3","co_3_int",35065.6124741777,8.84777801890596,13.078236795437
"4","co_3",35077.1571882124,20.3924920535937,12.1510376435589
"5","co_1_int",35406.7863627086,350.021666549757,13.6491712094269
"6","co_1",35434.0270235009,377.262327342061,12.5553991301019
"7","co_int",35677.2833501094,620.51865395053,13.8131794164201
"8","co",35712.1501485936,655.385452434741,12.6732477636788
"med","co_1_int",37810.5819536004,0,10.9288783605912
"21","co_1",37831.1365484131,20.5545948127037,9.86759086182879
"31","co_3_int",37844.6039762255,34.0220226250531,10.3748204685249
"41","co_3",37848.1575370663,37.5755834658921,9.70739069012142
"51","co_int",37906.8270323771,96.2450787766793,10.9896167190254
"61","co",37937.3790397618,126.797086161336,9.89699967259593
"71","co_5",38161.5552469591,350.973293358671,8.63159619719126
"81","co_5_int",38162.6139746298,352.032021029343,8.78878707471309
"all","co_1_int",81144.9928501647,0,13.0726834713891
"22","co_1",81174.2182932517,29.2254430870235,12.5178942229394
"32","co_3_int",81261.7097071966,116.716857031905,12.8568237263814
"42","co_3",81272.6364266199,127.643576455215,12.3054332498226
"52","co_int",81312.9532544366,167.960404271842,13.1102680763795
"62","co",81350.0390913785,205.046241213728,12.5730326675956
"72","co_5",81932.9626343239,787.969784159199,11.9914090290079
"82","co_5_int",81935.6801354248,790.687285260094,12.0556769122418
"all1","co_1_int",81144.9928501647,0,13.0726834713891
"23","co_1",81174.2182932517,29.2254430870235,12.5178942229394
"33","co_3_int",81261.7097071966,116.716857031905,12.8568237263814
"43","co_3",81272.6364266199,127.643576455215,12.3054332498226
"53","co_int",81312.9532544366,167.960404271842,13.1102680763795
"63","co",81350.0390913785,205.046241213728,12.5730326675956
"73","co_5",81932.9626343239,787.969784159199,11.9914090290079
"83","co_5_int",81935.6801354248,790.687285260094,12.0556769122418
