"","model_name","AIC","delta"
"all","co_int",24920.3507966133,0
"2","co_3",24943.656926365,23.3061297517634
"3","co",25927.6416957139,1007.29089910063
"4","simp_int",26404.8852099055,1484.53441329219
"5","simp_3",26412.1645663334,1491.81376972011
"6","simp",27461.4673545229,2541.11655790966
"med","co_int",14465.9870741647,0
"21","co_3",14470.9134457367,4.92637157196077
"31","co",14781.8561979951,315.869123830347
"41","simp_int",15388.4382469953,922.45117283057
"51","simp_3",15390.4322486343,924.44517446958
"61","simp",15753.7053446948,1287.71827053003
"red","co_int",8440.62113650953,0
"22","co_3",8458.30005193535,17.6789154258186
"32","simp_int",8618.18019598271,177.559059473177
"42","simp_3",8634.86680560628,194.245669096752
"52","co",8805.45822414268,364.83708763315
"62","simp",9014.88023536262,574.259098853086
