,Model name,AIC score,Delta AIC,Deviance explained
Indigenous species,co_1,37831.1,0.0,9.9
,co_3,37848.2,17.0,9.7
,year_1,37857.3,26.2,9.1
,year_3,37864.3,33.2,9.0
,co,37937.4,106.2,9.9
,year,37968.7,137.6,9.1
,co_5,38161.6,330.4,8.6
,year_5,38170.7,339.6,8.6
Alien species,co_5,35056.8,0.0,10.7
,co_3,35077.2,20.4,12.2
,year_5,35131.7,74.9,4.0
,year_3,35239.5,182.7,5.1
,co_1,35434.0,377.3,12.6
,year_1,35675.6,618.8,5.6
,co,35712.2,655.4,12.7
,year,35986.2,929.4,5.8
Whole species,co_1,81174.2,0.0,12.5
,year_1,81223.1,48.9,11.6
,co_3,81272.6,98.4,12.3
,year_3,81295.2,120.9,11.5
,co,81350.0,175.8,12.6
,year,81411.3,237.1,11.7
,co_5,81933.0,758.7,12.0
,year_5,81940.2,766.0,11.4
all1,co_1,81174.2,0.0,12.5
23,year_1,81223.1,48.9,11.6
33,co_3,81272.6,98.4,12.3
43,year_3,81295.2,120.9,11.5
53,co,81350.0,175.8,12.6
63,year,81411.3,237.1,11.7
73,co_5,81933.0,758.7,12.0
83,year_5,81940.2,766.0,11.4
