"","Year","Aal","Arg","BAT","Bbo","Bca","Dce","DIP","Eha","EPI","Lbu","Lmo","Mce","Mme","MUL","Nra","Pca","Per","Pin","Psa","Rrh","Sau","Sco","Sd","Sig","Sja","SPI","Ssi","Sso","Umo","Upo","WHT"
"1",1977,0,1.2,1,0,0,0,0,0,1,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1978,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1982,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1984,0,25,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0
"6",1985,0,0,0,35,17,0,22.1,0,0.1,0,0,0,5.1,36.7,0,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,2.4,12,2.5,1
"7",1987,0,0,0,0,0,0,0,0,5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"8",1988,0,0,0,10,0,0,0,0,0,0,0,0,11,140.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
"9",1989,0,0,0,0,0,0,0,0,3,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"10",1990,0,0,39,12,2,0,2,0,17.25,0,0,0,98.5,128.5,0,1.75,37,0,0,0,0,12,0,0,8,0,0,0.5,25,0,11
"11",1991,0,0,0,10,0,0,0,0,34,0,0,0,6.5,123,0,0.5,0,0,0,0,0,0,0,0,0,0,0,47,22,0,20
"12",1992,0,0,63,10,2,0,0,0,31.5,0,0,0,125,129.5,0,1,0,0,0,0,0,0,3,0,29,0,0,10.65,6,0,7.5
"13",1993,0,0,108,16,13,0,0,0,13.5,0,0,0,120,12,0,1,3,0,0,0,0,0,1,0,0,0,0,3,4,0,34
"14",1994,0,0,3,0,4,0,0,0,2.5,0,0,0,9,139.5,0,1.5,0,0,0,0,0,0.5,1,0,0,0,0,0,14.5,0,44
"15",1995,0,0,113.5,84.5,20.75,0,4,1,70.7,0,15.5,10,237,522.8,0,9.8,29.7,0,0,0,2,13,18.5,0,29.5,4.5,0,4,31.5,0,248.25
