,X.1,X,fisbase_temp,Tpref_my_code,Ch_Tpref50,sp_code,Origin,Ch_Tpref25,Ch_Tpref70,Tpref,Perecent,Tpref_percent
1,1,Alectis alexandrinus ,24.4,26.7,24,Aal,Med,21,26,24,,
2,2,Argyrosomus regius,15.3,20.5,19,Arg,Med,16,21,19,,
3,3,raja clavata,10.7,13.2,17,BAT,Med,14,20,17,0.265548282,4.514320794
4,4,Raja miraletus,17.6,23,,BAT,Med,,,22.96209921,0.402641389,9.24549152
5,5,Torpedo torpedo,15.6,22.2,,BAT,Med,,,22.24704239,0,0
6,6,dasyatis pastinaca,12.2,19.7,21,BAT,Med,17,25,21,0.331810329,6.968016909
7,7,Boops boops,17.8,20,20,Bbo,Med,16,24,20,,
8,8,Balistes carolinensis,17.8,26.2,,Bca,Med,,,26.24302388,,
9,9,Diplodus cervinus,14.9,19.8,21,Dce,Med,18,24,21,0.126599587,2.658591331
10,10,Diplodus saragus,18.8,19.6,22,DIP,Med,19,25,22,0.494141251,10.87110752
11,11,Diplodus vulgaris,18.8,19.4,21,DIP,Med,18,24,21,0.312901544,6.570932416
12,12,Diplodus cervinus,14.9,19.8,21,DIP,Med,18,24,21,0.126599587,2.658591331
13,13,Diplodus puntazoo,19.1,19.1,23,DIP,Med,20,25,23,0.066357618,1.526225216
14,14,Epinephelus haifensis,15.6,23,,Eha,Med,,,23.04656475,,
15,15,Epinephelus marginatus,19,21.2,25,EPI,Med,21,27,25,0,
16,16,Epinephelus aeneus,17.1,24.3,27,EPI,Med,25,28,27,1,
17,17,Lophius budegassa,11.1,19.3,25,Lbu,Med,23,28,25,,
18,18,lithognathus mormyrus,24.4,20,24,Lmo,Med,20,27,24,,
19,19,Liza aurata,11.9,18,16,Mce,Med,13,19,16,0.5,
20,20,Liza ramada,11.8,18.2,,Mce,Med,,,18.24521765,0.5,
21,21,Merluccius merluccius,10.2,17.7,18,Mme,Med,15,20,18,,
22,22,Mullus barbatus,14.2,19.3,17,MUL,Med,12,22,17,0.673335399,11.44670177
23,23,Mullus surmuletus,10.2,17.5,19,MUL,Med,13,23,19,0.326664601,6.206627428
24,24,Nemipterus randalli,21.42,26,28,Nra,Red,27,28,28,,
25,25,Pagrus caeruleostictus,17.5,25.8,23,Pca,Med,20,26,23,,
26,26,Pagellus erythrinus,17.2,19.4,18,Per,Med,16,20,18,,
27,27,Rhinobatos rhinobatos,26.1,24.9,,Rrh,Med,,,24.90816822,,
28,28,Sparus aurata,17.8,18.9,,Sau,Med,,,18.86408864,,
29,29,scomberomorus commerson,28,26.8,28,Sco,Red,27,28,28,,
30,30,Seriola dumerili,27.1,26.7,27,Sd,Med,26,28,27,,
31,31,scomber japonicus,20.7,15.5,23,Sja,Med,18,27,23,,
32,32,Spicara manena,14.5,19.3,16,SPI,Med,12,19,16,0.449362074,7.189793178
33,33,Spicara smaris,14.4,19.4,,SPI,Med,,,19.37719075,0.550637926,10.66981613
34,34,Sillago sihama,28.5,27,27,Ssi,Red,26,28,27,,
35,35,Solea solea,11.4,12.5,16,Sso,Med,12,19,16,,
36,36,Upeneus moluccensis,27.2,27.1,,Umo,Red,,,27.05034989,,
37,37,Upeneus pori, 25.6,23.1,,Upo,Red,,,23.09348636,,
38,38,Pomadasys incisus,23.1,,27,Pin,Med,25,28,27,,
39,39,Pomatomus saltatrix ,21.1,,27,Psa,Med,25,28,27,,
40,40,Siganus rivulatus,27.3,24.3,,Sig,Red,,,24.32996917,0.95,23.11347071
41,41,Siganus luridus,27,25.2,,Sig,Red,,,25.21862857,0.05,1.260931429
