"","Year","Month","MonthT"
"1","1994","1",19.2487155963303
"2","1994","10",27.9849824561404
"3","1994","11",22.6896913580247
"4","1994","12",19.2995803183792
"5","1994","2",17.7600245098039
"6","1994","3",17.4665373563218
"7","1994","4",19.1639896373057
"8","1994","5",21.8265094339623
"9","1994","6",26.1069701492537
"10","1994","7",28.6179888268156
"11","1994","8",29.1613913043478
"12","1994","9",29.2030381944444
"13","1995","1",18.0527160493827
"14","1995","10",25.5013953488372
"15","1995","11",22.6275549048316
"16","1995","12",19.4146731571627
"17","1995","2",17.1964210526316
"18","1995","3",17.8940857142857
"19","1995","4",18.7722237762238
"20","1995","5",21.2039666666667
"21","1995","6",25.8880806675939
"22","1995","7",28.8253638814016
"23","1995","8",29.696027027027
"24","1995","9",29.0452923076923
"25","1996","1",18.1396162528217
"26","1996","10",26.0593943472409
"27","1996","11",22.8634166666667
"28","1996","12",20.9876945244957
"29","1996","2",17.5230090497738
"30","1996","3",17.3942064714946
"31","1996","4",18.635790960452
"32","1996","5",21.1208310249307
"33","1996","6",25.5432854864434
"34","1996","7",28.3198387096774
"35","1996","8",29.3663802816901
"36","1996","9",28.6710167130919
"37","1997","1",19.3167294751009
"38","1997","10",25.8979945054945
"39","1997","11",23.6694575799722
"40","1997","12",20.7558333333333
"41","1997","2",17.7428851963746
"42","1997","3",17.2076075268817
"43","1997","4",17.7667638888889
"44","1997","5",21.2134408602151
"45","1997","6",25.2868322981366
"46","1997","7",28.8952181818182
"47","1997","8",28.770203125
"48","1997","9",27.6181983240223
"49","1998","1",18.4693220338983
"50","1998","10",26.2991935483871
"51","1998","11",24.6157142857143
"52","1998","12",21.8219703103914
"53","1998","2",17.7725223880597
"54","1998","3",17.6584274193548
"55","1998","4",18.8101774193548
"56","1998","5",20.7549726775956
"57","1998","6",25.3974826388889
"58","1998","7",28.5190013495277
"59","1998","8",30.4481182795699
"60","1998","9",28.9347916666667
"61","1999","1",18.9377688172043
"62","1999","10",27.55875
"63","1999","11",24.5431388888889
"64","1999","12",21.0757780784844
"65","1999","2",18.0416869300912
"66","1999","3",18.2348866855524
"67","1999","4",19.4565972222222
"68","1999","5",22.2306048387097
"69","1999","6",26.7089861111111
"70","1999","7",28.7595564516129
"71","1999","8",29.8999193548387
"72","1999","9",29.1807777777778
"73","2000","1",18.7849663526245
"74","2000","10",26.2244489247312
"75","2000","11",22.8782083333333
"76","2000","12",20.7969623655914
"77","2000","2",16.9702298850575
"78","2000","3",16.8611693548387
"79","2000","4",19.0439583333333
"80","2000","5",21.5217607526882
"81","2000","6",26.1514027777778
"82","2000","7",28.8985080645161
"83","2000","8",29.4576075268817
"84","2000","9",28.8037777777778
"85","2001","1",19.3784139784946
"86","2001","10",27.5016172506739
"87","2001","11",24.198625
"88","2001","12",20.5856576862124
"89","2001","2",18.2945436507936
"90","2001","3",18.9586684782609
"91","2001","4",20.439081920904
"92","2001","5",22.6542721088435
"93","2001","6",26.1905153203343
"94","2001","7",28.8193010752688
"95","2001","8",29.9433936022253
"96","2001","9",29.2470138888889
"97","2002","1",17.9849413489736
"98","2002","10",26.742002688172
"99","2002","11",24.5845
"100","2002","12",21.2899325236167
"101","2002","2",17.4980208333333
"102","2002","3",18.3585887096774
"103","2002","4",18.9552793296089
"104","2002","5",21.9342607526882
"105","2002","6",26.0177586206897
"106","2002","7",29.2257469717362
"107","2002","8",30.147688172043
"108","2002","9",28.6609722222222
"109","2003","1",19.311467025572
"110","2003","10",26.8018378378378
"111","2003","11",24.0739722222222
"112","2003","12",20.8980854197349
"113","2003","2",17.7715773809524
"114","2003","3",17.0711972789116
"115","2003","4",18.3623055555556
"116","2003","5",21.9915591397849
"117","2003","6",25.9145277777778
"118","2003","7",29.0482123655914
"119","2003","8",29.7763172043011
"120","2003","9",28.8470323488045
