"","species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Ccr",0,2,0,0,9,0,0,0,0,3,2,3,0,2,6,0,2,18,10,4,1,0,0,0,0,0,0
"2","DLS",1,0,0,1,37,3,0,8,23,20,14,13,13,9,21,5,26,2,0,2,7,7,0,0,0,0,0
"3","MUL",1,2,1,1,24,8,2,18,0,19,3,12,4,18,0,0,0,0,1,0,0,1,0,0,0,0,0
"4","Nra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,2,4,9,3,7,1
"5","Per",0,0,0,0,0,0,0,1,1,1,1,2,1,3,0,1,0,0,1,3,0,4,0,0,0,0,0
"6","Sd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,18,13,14,15,3
"7","Sja",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,5,3,2,3,0,0,0,0,0
"8","SPH",0,0,1,2,1,2,0,1,1,2,1,2,5,0,2,2,2,0,2,0,0,1,0,0,0,0,0
"9","Sud",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,6,15
"10","Umo",1,0,0,1,2,0,2,4,1,2,18,8,6,1,12,5,6,3,12,3,9,4,1,2,0,7,0
