"","X.1","X","net","net_index","Start_hh","Start_mm","End_hh","End_mm","Year","Month","Day","Date","Week","Season","Fisherman","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Duration","Gambari_net","Distance_from_shore_km","depth_meter","new_site","new_direction","Lat_shore","lon_shore","perpendicular","Lon_final","Lat_final","loc_DEPTH","Nra","Sco","Sig","Ssi","Umo","Upo","mtc"
"1",1,1,1,"1-1976_7_b",5,30,"10","15",1977,2,17,"1977-02-17",7,"winter","Sarot","Ashkelon N",26,NA,NA,FALSE,NA,NA,NA,FALSE,4.75,FALSE,NA,46.8,"Ashkelon","N",31.68,34.56,306,34.46694194,31.73774708,46.50456371,0,0,0,0,0,0,NA
"2",2,2,2,"1-1977_8",5,30,"9","30",1977,10,6,"1977-10-06",40,"autumn","Tzion","Gazza",22,NA,NA,TRUE,NA,NA,NA,FALSE,4,FALSE,NA,39.6,"Gaza",NA,31.6,34.48,310,34.41781569,31.64462281,39.06246142,0,0,0,0,0,0,NA
"3",3,3,3,"ינו-78",NA,NA,NA,NA,1978,5,12,"1978-05-12",19,"spring","Sarot","Ashdod N",110,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,198,"Ashdod","N",31.83,34.63,301,34.44237643,31.92600923,199.8263131,0,0,0,0,0,0,NA
"4",4,4,4,"1-1981_2",20,30,NA,NA,1981,9,30,"1981-09-30",39,"autumn","Levi","Ashdod N",9,0.75,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,1.35,16.2,"Ashdod","N",31.83,34.63,301,34.63,31.83,16.71903291,0,0,0,0,0,0,NA
"5",5,5,5,"1-1984_5",0,0,"5","30",1984,9,30,"1984-09-30",40,"autumn","Levi","Ashdod(S)",NA,NA,NA,FALSE,NA,NA,NA,FALSE,5.5,FALSE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"6",6,6,6,"1-1987_8",6,30,"9","15",1987,9,27,"1987-09-27",39,"autumn","Levi","Ashdod N",20,NA,NA,FALSE,NA,NA,NA,FALSE,2.75,FALSE,NA,36,"Ashdod","N",31.83,34.63,301,34.60464372,31.84300302,35.77251771,0,0,0,0,0,0,NA
"7",7,7,7,"1-1989_90",NA,NA,NA,NA,1989,10,3,"1989-10-03",40,"autumn","Tzion","Ashdod S",21,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,37.8,"Ashdod","S",31.83,34.63,301,34.59468038,31.84810996,37.81362932,0,0,0,0,0,0,NA
"8",8,8,8,"1-1990_1",13,0,NA,NA,1990,9,22,"1990-09-22",38,"autumn","Tzion","Ashdod",16,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,28.8,"Ashdod",NA,31.83,34.63,301,34.61913389,31.83557335,28.31110829,0,0,0,0,0,0,NA
"9",9,9,9,"1-1991_2",7,0,"10","30",1991,9,15,"1991-09-15",37,"autumn","Levi","Ashdod S",29,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,52.2,"Ashdod","S",31.83,34.63,301,34.54847235,31.87177734,52.04522426,0,0,0,0,0,0,NA
"10",10,10,10,"1-1992_3",15,30,"17","0",1992,10,18,"1992-10-18",42,"autumn","Levi","Ashdod S",NA,1.9,NA,FALSE,FALSE,FALSE,NA,FALSE,1.5,FALSE,3.42,37.38123709,"Ashdod","S",31.83,34.63,301,34.59902815,31.84588158,37.38123709,0,0,0,0,0,0,NA
"11",11,11,11,"1-1994_5",22,0,"5","30",1994,9,12,"1994-09-12",37,"autumn","Levi","Ashdod N",50,NA,NA,FALSE,NA,NA,NA,FALSE,7.5,FALSE,NA,90,"Ashdod","N",31.83,34.63,301,34.49680013,31.89820912,90.06357578,0,0,0,0,0,0,NA
"12",12,12,12,"1-1995_6",NA,NA,NA,NA,1995,9,27,"1995-09-27",39,"autumn","Tzion","Ashdod",9,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,16.2,"Ashdod",NA,31.83,34.63,301,34.63,31.83,16.71903291,0,0,0,0,0,0,NA
"13",13,13,13,"1-1997_8",3,30,"8","0",1997,10,12,"1997-10-12",41,"autumn","Sarot","Ashdod N",180,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,324,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"14",14,14,14,"1-1998_9",9,30,"13","0",1998,9,25,"1998-09-25",39,"autumn","Levi","Palmachim N",26,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,46.8,"Palmachim ","N",31.9,34.7,285,34.61012227,31.92050845,47.36266292,0,0,0,0,0,0,NA
"15",15,15,15,"ינו-01",NA,NA,NA,NA,2001,3,8,"2001-03-08",10,"spring","Sarot","Ashdod N",NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,7.2,43.63903566,"Ashdod","N",31.83,34.63,301,34.56478376,31.86342607,43.63903566,0,0,0,0,0,0,NA
"16",16,16,16,"1-2001_02",1,0,"5","30",2001,10,3,"2001-10-03",40,"autumn","Levi","Ashdod N",11,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,TRUE,NA,19.8,"Ashdod","N",31.83,34.63,301,34.62818907,31.83092896,20.00217417,0,0,0,0,0,0,NA
"17",17,17,17,"1-2002_3",6,30,"10","30",2002,9,10,"2002-09-10",37,"autumn","Tzion","Kor S",26,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,NA,46.8,"Kor","S",31.9,34.67,297,34.61347029,31.92455285,47.05856807,0,0,0,0,0,0,NA
"18",18,18,18,"1-2003_4",9,30,"13","0",2003,9,10,"2003-09-10",37,"autumn","Levi","Gazza N",28,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,3.5,FALSE,NA,50.4,"Gaza","N",31.6,34.48,310,34.39680497,31.65968333,50.25385047,0,0,0,0,0,0,NA
"19",19,19,19,"1-2004_05",9,45,"12","45",2004,9,13,"2004-09-13",37,"autumn","Levi","Ashdod S",NA,1.4,NA,FALSE,NA,NA,NA,FALSE,3,TRUE,2.52,34.48971354,"Ashdod","S",31.83,34.63,301,34.60717967,31.84170295,34.48971354,0,10,0,0,0,0,28
"20",20,20,20,"1-2005_6",9,0,"13","0",2005,10,10,"2005-10-10",41,"autumn","Levi","Ashdod S",25,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,45,"Ashdod","S",31.83,34.63,301,34.56115926,31.86528209,44.74516881,0,0,0,0,0,0,NA
"21",21,21,21,"1-2006_7_first",7,0,"11","0",2006,10,8,"2006-10-08",41,"autumn","Levi","Ashdod S",27,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,48.6,"Ashdod","S",31.83,34.63,301,34.55481602,31.86852987,48.58026037,0,0,0,0,0,0,NA
"22",22,22,22,"1-2008_09",1,30,"5","30",2008,10,1,"2008-10-01",40,"autumn","Vadim","Ashdod N",NA,2.6,NA,FALSE,NA,NA,NA,FALSE,4,TRUE,4.68,38.3727739,"Ashdod","N",31.83,34.63,301,34.58761479,31.85173077,38.3727739,0,0,0,15,0,0,27.05034989
"23",23,23,23,"1-2009_10",20,15,"4","0",2009,9,21,"2009-09-21",38,"autumn","Levi","Ashdod N",18,NA,NA,FALSE,NA,NA,NA,FALSE,7.75,TRUE,NA,32.4,"Ashdod","N",31.83,34.63,301,34.61279473,31.83882403,31.75150428,0,0,0,0,0,0,NA
"24",24,24,24,"1-2010_11",16,0,"20","15",2010,10,1,"2010-10-01",40,"autumn","Levi","Ashdod N",NA,2.2,NA,FALSE,FALSE,FALSE,NA,FALSE,4.25,TRUE,3.96,37.81362932,"Ashdod","N",31.83,34.63,301,34.59413689,31.8483885,37.81362932,0,0,0,0,0,0,NA
"25",25,25,25,"1-2011_12",11,30,"16","0",2011,12,26,"2011-12-26",52,"winter","Vadim","Ashdod S",NA,4,NA,FALSE,FALSE,FALSE,NA,FALSE,4.5,FALSE,7.2,43.63903566,"Ashdod","S",31.83,34.63,301,34.56478376,31.86342607,43.63903566,35,0,0,0,25,0,25.9556193166667
"26",26,26,26,"1-2012_13",16,10,"19","10",2012,10,2,"2012-10-02",40,"autumn","Doli","Ashdod N",NA,2.8,"do-doli",FALSE,FALSE,FALSE,NA,FALSE,3,TRUE,5.04,38.33304096,"Ashdod","N",31.83,34.63,301,34.58435357,31.85340178,38.33304096,20,0,0,0,0,0,28
"27",27,27,27,"10-1976_7_b",13,0,"16","15",1977,2,19,"1977-02-19",8,"winter","Tzion","Katza S",16,NA,NA,FALSE,NA,NA,NA,FALSE,3.25,FALSE,NA,28.8,"Katza","S",31.63,34.51,306,34.4929429,31.64060101,28.19990325,0,0,0,0,0,0,NA
"28",28,28,28,"10-1977_8",11,0,"15","0",1977,10,0,NA,NA,"autumn","Tzion","Gazza",23,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,41.4,"Gaza",NA,31.6,34.48,310,34.41458371,31.64694004,41.13455119,0,0,0,0,0,0,NA
"29",29,29,29,"אוק-78",12,30,"19","0",1978,5,16,"1978-05-16",20,"spring","Levi","keles",8,NA,NA,FALSE,NA,NA,NA,FALSE,6.5,FALSE,NA,14.4,"Keles",NA,32.825,34.96,274,34.93869271,32.82625618,15.94079705,0,0,0,0,0,0,NA
