"","X","Sp_code","Common_name","scintific_name","Origin","Vulnerability","Trophic_level"
"1",1,"Aal","Ben_Gurion","Alectis alexandrinus ","Med",50.31,3.6
"2",2,"Arg","Musar","Argyrosomus regius","Med",67.17,4.3
"3",3,"BAT","Taref","Batoidea (Superorder)","Med",61.595,3.8
"4",4,"Bbo","Rofus","Boops boops","Med",41.22,2.8
"5",5,"Bca","Hazir","Balistes carolinensis","Med",49,4.1
"8",8,"Dce","Pijama","Diplodus cervinus","Med",NA,NA
"9",9,"DIP","Saragus","Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo)","Med",42.9275,3.425
"11",11,"Eha","Daba","Epinephelus haifensis","Med",68,4
"12",12,"EPI","Lokus","Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus)","Med",61.955,4.2
"16",16,"Lbu","Shed_Yam","Lophius budegassa","Med",68,4.4
"17",17,"Lmo","Marmir","lithognathus mormyrus","Med",40.38,3.4
"20",20,"Mce","Bori","Mugil cephalus/Liza sp. (Liza aurata/Liza ramada)","Med",46.25333333,2.533333333
"21",21,"Mme","Bakala","Merluccius merluccius","Med",63.85,4.4
"23",23,"MUL","Soltan","Mullus sp. (Mullus barbatus/Mullus surmuletus)","Med",34.15,3.3
"26",26,"Nra","Barbon","Nemipterus randalli","Red",16.15,3.7
"29",29,"Pca","Farida","Pagrus caeruleostictus","Med",45.89,3.7
"30",30,"Per","Gerbida","Pagellus erythrinus","Med",39.81,3.5
"31",31,"Pin","vak vak","Pomadasys incisus","Med",NA,NA
"34",34,"Psa","Gomber","Pomatomus saltatrix ","Med",NA,NA
"36",36,"Rrh","Alafuchim","Rhinobatos rhinobatos","Med",68.07,4.1
"41",41,"Sau","Denis","Sparus aurata","Med",40.2,3.7
"43",43,"Sco","Palamud","scomberomorus commerson","Red",41,4.5
"44",44,"Sd","Intias","Seriola dumerili","Med",53.95,4.5
"46",46,"Sig","Aars","Siganus rivulatus/Siganus luridus","Red",NA,NA
"47",47,"Sja","Scombri","scomber japonicus","Med",31,3.4
"52",52,"SPI","Rofus_Fake","Spicara sp. (Spicara manena/Spicara smaris)","Med",42.45,3.6
"54",54,"Ssi","Televisia","Sillago sihama","Red",23.64,3.3
"55",55,"Sso","Muslach","Solea solea","Med",36.09,3.2
"60",60,"Umo","Pas_Tzahov","Upeneus moluccensis","Red",21.92,3.6
"61",61,"Upo","Soltan_Fake","Upeneus pori","Red",28.2,4.4
"62",62,"WHT","Lavan","Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo)","Med",42.418,3.42
